date,swan_ret_overlay,swan_equity_overlay,regime,p_bull,swan_ret_bh,swan_equity_bh,spy_ret_bh,spy_equity_bh
2025-04-01,-0.000286,1019040.627853,BEAR,0.003300,0.001231,1009490.705542,0.002824,960035.201447
2025-04-02,0.000337,1019384.538653,BEAR,0.003700,0.009582,1019163.464627,0.006328,966110.676130
2025-04-03,-0.000882,1018485.692035,BEAR,0.000000,-0.039362,979047.211814,-0.049281,918500.057832
2025-04-04,-0.003270,1015155.050837,BEAR,0.000000,-0.063823,916561.398629,-0.058543,864728.293431
2025-04-07,-0.000503,1014644.394773,BEAR,0.000000,-0.001219,915444.196582,-0.001781,863188.046300
2025-04-08,0.000031,1014676.209746,BEAR,0.000000,-0.005547,910366.626845,-0.015663,849668.140117
2025-04-09,0.003166,1017888.733746,BEAR,0.000000,0.090189,992471.256152,0.105019,938899.731031
2025-04-10,-0.000902,1016971.058508,BEAR,0.000000,-0.029908,962788.017263,-0.043819,897758.119166
2025-04-11,0.001095,1018085.150227,BEAR,0.000000,0.020679,982697.463448,0.017843,913776.626294
2025-04-14,0.000475,1018568.693985,BEAR,0.000000,0.006529,989113.102711,0.009701,922641.491000
2025-04-15,-0.000116,1018450.046394,BEAR,0.000000,-0.002297,986841.094928,-0.002801,920057.271161
2025-04-16,-0.000622,1017816.164947,BEAR,0.000000,-0.018533,968551.735996,-0.022228,899606.331680
2025-04-17,0.000040,1017856.398083,BEAR,0.000000,-0.004061,964618.664476,0.001427,900889.774656
2025-04-21,-0.001035,1016802.572843,BEAR,0.000000,-0.024979,940523.707863,-0.023803,879446.181277
2025-04-22,0.000732,1017546.890384,BEAR,0.000000,0.019141,958526.084845,0.026018,902327.436695
2025-04-23,0.000432,1017986.580401,BEAR,0.000000,0.018104,975879.134917,0.015495,916309.369743
2025-04-24,0.000504,1018499.891108,BEAR,0.000000,0.022892,998219.073894,0.021049,935596.732699
2025-04-25,0.000215,1018719.118686,BEAR,0.000000,0.008169,1006373.308765,0.007225,942356.633263
2025-04-28,0.000137,1018858.980298,BEAR,0.000000,0.000055,1006428.694206,0.000381,942716.022510
2025-04-29,0.000441,1019308.487979,BEAR,0.000000,0.005926,1012393.103452,0.006299,948654.506963
2025-04-30,0.000225,1019537.352395,BEAR,0.000000,0.001534,1013946.146169,0.000397,949031.125042
2025-05-01,-0.000176,1019358.029775,BEAR,0.000000,0.001129,1015090.418237,0.007087,955756.778049
2025-05-02,0.000713,1020084.620374,BEAR,0.000000,0.016760,1032103.760675,0.014844,969944.196441
2025-05-05,-0.000822,1019246.289655,BEAR,0.000000,-0.012454,1019250.137702,-0.005734,964382.225013
2025-05-06,-0.000298,1018942.283498,BEAR,0.000000,-0.004948,1014206.858616,-0.008358,956321.547586
2025-05-07,0.000408,1019357.721406,BEAR,0.000000,0.007202,1021511.113332,0.004205,960343.324410
2025-05-08,-0.000083,1019273.306855,BEAR,0.000000,0.003429,1025013.896951,0.006968,967034.834914
2025-05-09,-0.000063,1019208.636544,BEAR,0.000000,-0.001365,1023614.471024,-0.001274,965802.763274
2025-05-12,0.000501,1019719.490015,BEAR,0.000000,0.025193,1049401.935706,0.033047,997720.016132
2025-05-13,-0.000345,1019368.127003,BEAR,0.000500,0.002307,1051823.218711,0.006604,1004308.783963
2025-05-14,-0.000541,1018816.605472,BEAR,0.000700,-0.001116,1050649.142147,0.001278,1005592.331993
2025-05-15,0.000763,1019593.806729,BEAR,0.000800,0.006268,1057234.462046,0.004884,1010504.020043
2025-05-16,0.000461,1020063.871565,BEAR,0.006100,0.007425,1065084.452806,0.006334,1016904.636415
2025-05-19,0.000117,1020183.562231,BEAR,0.009700,0.001659,1066851.679479,0.001094,1018016.946658
2025-05-20,-0.000024,1020159.095579,BEAR,0.070200,-0.001847,1064881.564044,-0.003362,1014594.186929
2025-05-21,-0.000544,1019604.442187,BEAR,0.018900,-0.010679,1053509.565269,-0.016851,997497.512062
2025-05-22,-0.000105,1019497.840555,BEAR,0.109000,0.007473,1061382.239387,0.000395,997891.148866
2025-05-23,-0.000183,1019311.467751,BEAR,0.318700,-0.006876,1054084.116280,-0.006826,991079.771911
2025-05-27,0.000683,1020007.938986,BEAR,0.066400,0.019498,1074637.094085,0.020791,1011684.930455
2025-05-28,-0.000366,1019634.800473,BEAR,0.125600,-0.005755,1068452.076991,-0.005785,1005831.854788
2025-05-29,0.000299,1019939.877897,BEAR,0.280400,0.005200,1074008.512173,0.003947,1009802.365330
2025-05-30,0.000208,1020152.258021,BEAR,0.500300,0.001251,1075351.677899,-0.001119,1008672.826254
2025-06-02,0.000075,1020228.536358,BEAR,0.704100,0.003865,1079507.633412,0.005633,1014354.664134
2025-06-03,0.000714,1020956.650381,BULL,0.885000,0.000892,1080470.658629,0.005703,1020139.139632
2025-06-04,0.000309,1021272.634801,BULL,0.968400,0.000387,1080888.663514,-0.000268,1019865.264226
2025-06-05,-0.001006,1020245.102795,BULL,0.989000,-0.001258,1079529.271738,-0.004833,1014936.452396
2025-06-06,0.009217,1029648.267450,BULL,0.992000,0.011521,1091966.223732,0.010269,1025358.845593
2025-06-09,0.003729,1033487.581358,BULL,0.996500,0.004661,1097055.827195,0.000901,1026283.004376
2025-06-10,0.002440,1036009.238428,BULL,0.997200,0.003050,1100401.777635,0.005670,1032101.727432
2025-06-11,-0.004433,1031416.790370,BULL,0.999400,-0.005541,1094304.416460,-0.002852,1029158.118347
2025-06-12,0.009438,1041151.339520,BULL,0.999600,0.011798,1107214.522522,0.003974,1033248.285232
2025-06-13,-0.003224,1037794.827885,BULL,0.998500,-0.004030,1102752.661064,-0.011180,1021696.458015
2025-06-16,0.001695,1039553.800898,BULL,0.999000,0.002119,1105088.999758,0.009514,1031417.091443
2025-06-17,-0.004611,1034760.797374,BULL,0.998800,-0.005763,1098720.046721,-0.008545,1022603.493020
2025-06-18,-0.004576,1030026.163427,BULL,0.999400,-0.005719,1092435.940717,-0.000151,1022449.484065
2025-06-20,-0.005723,1024131.231335,BULL,0.999400,-0.007154,1084620.804663,-0.002349,1020048.162991
2025-06-23,0.006196,1030477.161012,BULL,0.999200,0.007746,1093021.738965,0.009877,1030123.668350
2025-06-24,0.011959,1042801.018621,BULL,0.999000,0.014949,1109361.553160,0.011047,1041503.732511
2025-06-25,-0.001792,1040932.372327,BULL,0.999600,-0.002240,1106876.653935,0.000560,1042087.306689
2025-06-26,0.004313,1045422.297706,BULL,0.999500,0.005392,1112844.613179,0.007824,1050240.431511
2025-06-27,0.004817,1050458.599880,BULL,0.999600,0.006022,1119545.998061,0.004968,1055458.351556
2025-06-30,0.005334,1056061.445084,BULL,0.999600,0.006667,1127010.170051,0.004781,1060504.718652
2025-07-01,-0.000260,1055786.528340,BULL,0.999600,-0.000325,1126643.437167,-0.000324,1060161.507699
2025-07-02,0.002333,1058249.357653,BULL,0.999600,0.002916,1129928.583369,0.004533,1064967.511569
2025-07-03,0.007675,1066371.524706,BULL,0.999500,0.009594,1140768.973498,0.007881,1073360.894563
2025-07-07,-0.004753,1061303.362320,BULL,0.999400,-0.005941,1133991.782964,-0.007452,1065362.303966
2025-07-08,-0.002388,1058769.491385,BULL,0.999600,-0.002984,1130607.514005,-0.000548,1064778.729788
2025-07-09,0.004768,1063817.970707,BULL,0.999600,0.005960,1137346.290366,0.005997,1071163.798189
2025-07-10,-0.000694,1063080.188349,BULL,0.999600,-0.000867,1136360.320431,0.002820,1074184.831967
2025-07-11,-0.004210,1058604.427267,BULL,0.999600,-0.005263,1130379.965711,-0.003515,1070408.566007
2025-07-14,0.001860,1060573.682575,BULL,0.999600,0.002325,1133008.434252,0.001908,1072451.128158
2025-07-15,-0.001529,1058952.080544,BULL,0.999600,-0.001911,1130842.992086,-0.004273,1067868.258681
2025-07-16,0.004274,1063478.086985,BULL,0.999600,0.005343,1136884.581172,0.003343,1071438.408972
2025-07-17,0.001671,1065255.533610,BULL,0.999500,0.002089,1139259.749602,0.006120,1077995.240430
2025-07-18,0.001156,1066486.819864,BULL,0.999500,0.001445,1140905.780560,-0.000732,1077205.760691
2025-07-21,0.002657,1069320.087972,BULL,0.999500,0.003321,1144694.495880,0.001896,1079248.322841
2025-07-22,-0.002088,1067087.815707,BULL,0.999500,-0.002609,1141707.469587,0.000143,1079402.752012
2025-07-23,0.007577,1075173.197058,BULL,0.999200,0.009471,1152520.942652,0.008508,1088585.824852
2025-07-24,0.002716,1078093.787587,BULL,0.999400,0.003395,1156434.314189,0.000331,1088946.159583
2025-07-25,0.003715,1082098.582924,BULL,0.999300,0.004643,1161804.072834,0.004224,1093546.257892
2025-07-28,-0.000108,1081981.212588,BULL,0.999400,-0.000136,1161646.553296,-0.000251,1093271.647109
2025-07-29,-0.000623,1081306.982493,BULL,0.999300,-0.000779,1160741.711955,-0.002638,1090388.023776
2025-07-30,-0.000222,1081066.573054,BULL,0.999300,-0.000278,1160419.124026,-0.001259,1089014.864806
2025-07-31,-0.003995,1076748.097519,BULL,0.999300,-0.004993,1154624.798169,-0.003751,1084929.740505
2025-08-01,-0.012936,1062818.748237,BULL,0.996100,-0.016171,1135953.796869,-0.016390,1067147.274057
2025-08-04,0.006958,1070214.329441,BULL,0.997500,0.008698,1145834.407465,0.015200,1083367.694699
2025-08-05,0.000031,1070247.236771,BULL,0.999400,0.000038,1145878.448120,-0.005070,1077875.058817
